"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",451,0,2020-03-28,30,4917000,0.0917225950782998,0,0,54,55,36.7,58.1,45.2,59.4,77.2,42084.35337,9.26,TRUE
"OMN",84,0,2020-03-24,30,4974986,0.0168844696246381,0,0,43.1,35.3,41.1,41.6,25.4,56,65.7,15343.062,3.06,FALSE
"PAK",1201,9,2020-03-25,30,216565318,0.00554567098319963,4.15579007900055e-05,0.749375520399667,35.5,24.1,41.7,38.7,19.9,49.7,38.7,1284.702041,4.25,FALSE
"PAN",2249,59,2020-04-08,30,4246439,0.52962023003274,0.0138939944739581,2.62338817252112,43.7,40.5,44.6,46.4,35.1,35.3,63.8,15731.01603,7.05,FALSE
"PER",1746,73,2020-04-04,30,32510453,0.0537058034841901,0.00224543164624621,4.18098510882016,49.2,43.2,38.3,51.7,45,63,57.7,6977.695784,6.6,FALSE
"PHL",3,1,2020-02-28,30,108116615,2.77478165589997e-05,9.24927218633325e-06,33.3333333333333,47.6,38.5,63.6,43.8,38.2,49.8,50.3,3485.084218,6.64,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNG",7,0,2020-04-18,30,8776109,0.000797619993097169,0,0,27.8,10,31.8,34.8,11.6,41.4,38.7,2829.170309,6.03,TRUE
"POL",2946,57,2020-04-02,30,37970874,0.0775857832506041,0.00150115059242513,1.93482688391039,55.4,50.9,61.7,47.5,48.9,58.9,67.9,15692.50703,6.62,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRT",7443,160,2020-03-31,30,10269417,0.724773373210962,0.0155802417995101,2.1496708316539,60.3,52.8,50.5,67.7,55,63,77.3,23252.05852,8.03,FALSE
"PRY",113,5,2020-04-06,30,7044636,0.016040573281572,0.000709759879715574,4.42477876106195,35.7,39.5,34.6,26.8,28.2,35.3,55.9,5414.799138,6.24,FALSE
"QAT",634,1,2020-03-29,30,2832067,0.223864760261675,0.000353098990949014,0.157728706624606,41.2,33.1,32.7,48,38.8,32.7,68,62088.06183,3.19,FALSE
"ROU",1029,23,2020-03-26,30,19356544,0.0531603162217388,0.00118822864246841,2.23517978620019,45.8,48.9,42.8,35.3,36.7,52.4,65.7,12919.52964,6.49,FALSE
"RUS",2,0,2020-02-29,30,144373535,1.38529544213211e-05,0,0,44.3,42.9,34.1,50.1,37.6,52.6,51.4,11584.99538,3.11,FALSE
"RWA",126,0,2020-04-12,30,12626950,0.00997865676192588,0,0,34.2,33.8,36,31.9,24.1,38,43.6,820.0252417,3.16,FALSE
"SAU",1563,10,2020-03-31,30,34268528,0.0456103629546037,0.000291812942767778,0.639795265515035,49.3,34.3,74.4,32.6,44.8,50.6,59.7,23139.79866,1.93,FALSE
"SDN",19,2,2020-04-11,30,42813238,0.000443787970440358,4.67145232042482e-05,10.5263157894737,26.2,31.8,7,37.3,14.3,37.6,33,441.5056034,2.7,FALSE
"SEN",175,0,2020-03-31,30,16296364,0.0107385917496688,0,0,37.9,25.4,35.1,45.4,18.5,57,48.2,1446.830965,5.81,FALSE
"SGP",85,0,2020-02-21,30,5703569,0.0149029493638106,0,0,58.7,56.2,64.5,64.6,41.4,47.3,80.9,65233.28244,6.02,TRUE
"SLB",16,0,2020-11-10,30,669823,0.0238869074367408,0,0,20.7,8.4,8.7,18.7,12.4,40.1,44,2373.63247,NA,TRUE
"SLE",104,4,2020-04-29,30,7813215,0.0133107817972499,0.000511953146048074,3.84615384615385,38.2,25,45.8,44.8,25.3,52.8,32.8,527.5336344,4.86,FALSE
"SLV",177,7,2020-04-17,30,6453553,0.0274267523641628,0.00108467382231152,3.95480225988701,44.2,22.1,73.9,42.1,25.2,50.5,48,4187.250031,6.15,FALSE
