"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"São Tomé and Príncipe",17.7,"Palau",8.2,"Nauru",4.4,"Cook Islands",17.5,"Burkina Faso",5.6,"Syria",26.1,"Central African Republic",23,"STP"
"Saudi Arabia",49.3,"Kenya",45.9,"Switzerland",59.1,"Qatar",48,"Luxembourg",37.9,"Liechtenstein",56.9,"Latvia",67.2,"SAU"
"Senegal",37.9,"Ghana",32.2,"Pakistan",41.7,"Cambodia",36.7,"Gambia",23.5,"Jordan",48.6,"Kyrgyz Republic",56.1,"SEN"
"Serbia",52.3,"United Arab Emirates",49.3,"Philippines",63.6,"Myanmar",50.4,"Ireland",40.2,"Czech Republic",58.9,"Israel",68.8,"SRB"
"Seychelles",31.9,"Lesotho",24.4,"Kazakhstan",28.2,"Zambia",28.6,"Turkmenistan",14.4,"Venezuela",42.2,"Lebanon",45.5,"SYC"
"Sierra Leone",38.2,"Barbados",33.3,"Colombia",41.7,"Georgia",37.1,"Lebanon",23.8,"Cyprus",49.1,"Thailand",56.4,"SLE"
"Singapore",58.7,"Singapore",56.2,"Saudi Arabia",74.4,"Micronesia",56.9,"Mexico",46.9,"Turkey",64.3,"Spain",77.1,"SGP"
"Slovakia",47.9,"Iran",44.7,"Guinea",57.2,"Poland",47.5,"Cuba",37.4,"Afghanistan",56.3,"Samoa",66.1,"SVK"
"Slovenia",67.2,"Slovenia",67,"Brazil",82.4,"Slovenia",63.3,"Spain",59.6,"Thailand",70.9,"Netherlands",81.7,"SVN"
"Solomon Islands",20.7,"Gabon",10.8,"Tuvalu",8.7,"Iraq",19.5,"Marshall Islands",7.2,"Iraq",29.5,"Syria",29.6,"SLB"
"Somalia",16.6,"Marshall Islands",7,"São Tomé and Príncipe",2.7,"Eritrea",16,"Guinea-Bissau",4.6,"San Marino",25,"Congo (Democratic Republic)",20.1,"SOM"
"South Africa",54.8,"Switzerland",52.7,"Laos",70.4,"Albania",52,"Peru",45,"Uzbekistan",60.5,"Costa Rica",71.7,"ZAF"
"South Korea",70.2,"Finland",68.5,"Sweden",86,"Brazil",67.1,"Finland",60.8,"Slovenia",72.1,"France",83,"KOR"
"South Sudan",21.7,"Monaco",11.1,"Cook Islands",8.8,"Venezuela",19.7,"Tonga",7.5,"Samoa",30.7,"Madagascar",32.4,"SSD"
"Spain",65.9,"Belgium",63.5,"Thailand",81,"Spain",61.9,"Malaysia",57.1,"Estonia",67.6,"Singapore",80.9,"ESP"
"Sri Lanka",33.9,"Guinea",27,"Seychelles",33.4,"Moldova",31.1,"Mauritania",17,"North Macedonia",44.8,"Nauru",50.6,"LKA"
"St Kitts and Nevis",26.2,"Comoros",19.2,"Eritrea",17.2,"Kiribati",23.4,"Belize",9.7,"Paraguay",35.3,"Mozambique",38.4,"KNA"
"St Lucia",35.3,"Kyrgyz Republic",29.7,"Chad",36.5,"Iran",33.7,"Pakistan",19.9,"Togo",46.3,"Belarus",53,"LCA"
"St Vincent and The Grenadines",33,"Nigeria",26.3,"Malta",32.9,"Andorra",30.5,"Suriname",16.5,"Gambia",44.2,"Armenia",50.4,"VCT"
"Sudan",26.2,"North Korea",19,"Djibouti",17,"Djibouti",23.2,"Eritrea",9.7,"Cabo Verde",33.9,"Myanmar",38.2,"SDN"
"Suriname",36.5,"Haiti",31.5,"Mauritania",39.5,"Papua New Guinea",34.8,"Niger",21.9,"India",47.7,"Tunisia",55.7,"SUR"
"Sweden",72.1,"Canada",70,"Denmark",86,"Finland",69.2,"Switzerland",62.5,"Indonesia",72.5,"Andorra",83.5,"SWE"
