country,overall,country,prev_emergence_pathogens,country,early_detection,country,rapid_response,country,robust_health_sector,country,commitments,country,risk_environment
Guyana,31.7,Angola,24,Timor-Leste,25.7,Fiji,28.3,South Sudan,13.6,Sri Lanka,41.7,Nepal,44.7
Haiti,31.5,Congo (Democratic Republic),24,eSwatini (Swaziland),25.5,Uzbekistan,27.8,Botswana,13.3,Israel,41.5,Tanzania,44.7
Botswana,31.1,Togo,23.7,Maldives,25.5,Luxembourg,27.3,Algeria,13.1,Angola,41.4,São Tomé and Príncipe,44.6
eSwatini (Swaziland),31.1,Afghanistan,23.5,Mali,25.5,Barbados,27.2,Mali,13,Papua New Guinea,41.4,Lesotho,44.5
San Marino,31.1,Venezuela,23.5,Congo (Democratic Republic),25.1,Comoros,27.1,Venezuela,12.9,China,40.3,Zambia,44.2
Bahamas,30.6,Eritrea,23.4,Jamaica,24.3,Paraguay,26.8,Central African Republic,12.8,Yemen,40.3,Bangladesh,44
Andorra,30.5,Mali,23.4,Benin,24.2,Kazakhstan,26.6,Solomon Islands,12.4,Solomon Islands,40.1,Solomon Islands,44
Lesotho,30.2,Suriname,23.3,Tajikistan,24.1,Honduras,26.5,Guyana,12.3,Eritrea,40,Equatorial Guinea,43.6
Burkina Faso,30.1,Chad,23.2,Guinea-Bissau,23.4,Sri Lanka,26.4,North Korea,12.2,Bhutan,39.7,Rwanda,43.6
Cabo Verde,29.3,Libya,23.2,Malawi,23.3,St Kitts and Nevis,26.2,Cambodia,12,Turkmenistan,39.3,Ukraine,43.3
Antigua and Barbuda,29,St Lucia,22.8,Monaco,23.3,Monaco,26,Honduras,12,Uruguay,39.3,Benin,42.8
Jamaica,29,South Sudan,22.6,Comoros,23.2,Turkmenistan,26,Nauru,12,Ghana,38,Gabon,42.8
Mali,29,San Marino,22.3,Liechtenstein,22.9,Cuba,25.9,Tuvalu,12,Rwanda,38,Côte d'Ivoire,42.7
Benin,28.8,El Salvador,22.1,Nepal,22,Nauru,25.9,Congo (Democratic Republic),11.8,Vanuatu,38,Djibouti,42.7
Chad,28.8,Iraq,22.1,Zambia,21.9,Azerbaijan,25.5,Iraq,11.8,Zambia,38,Burkina Faso,42.6
Zambia,28.7,Botswana,22,Bahamas,21.8,Belize,25.5,Papua New Guinea,11.6,Bosnia and Herzegovina,37.8,Angola,42.2
Mozambique,28.1,Gambia,22,Somalia,21.5,Tonga,25.1,Uganda,11.6,Burundi,37.6,Timor-Leste,41.5
Malawi,28,Maldives,21.8,St Vincent and The Grenadines,20.6,Guatemala,25,Palau,11.5,Guinea-Bissau,37.6,Nicaragua,41
Papua New Guinea,27.8,Honduras,21.6,Guyana,20.3,Vanuatu,24.8,Guatemala,11.4,Sudan,37.6,Kenya,40.7
Honduras,27.6,Guatemala,21.2,Uzbekistan,19.4,Jamaica,24.7,Gabon,11.2,Gabon,36.5,Honduras,39.5
Grenada,27.5,Micronesia,21,Antigua and Barbuda,19.1,Palau,24.5,Angola,10.9,Djibouti,36.3,Mauritania,39.5
Mauritania,27.5,Samoa,20.2,Barbados,19.1,South Sudan,24.3,Haiti,10.6,Mauritania,36.3,Zimbabwe,39.2
Central African Republic,27.3,Jamaica,20.1,Grenada,18.6,Mauritania,24.2,Grenada,10.3,Micronesia,36.3,Libya,39
Comoros,27.2,St Vincent and The Grenadines,20,Lesotho,18,Botswana,23.9,Namibia,10.1,Azerbaijan,36.2,Pakistan,38.7
Congo (Democratic Republic),26.5,Tonga,19.8,Angola,17.9,Afghanistan,23.6,Jamaica,10,Monaco,35.3,Papua New Guinea,38.7
Samoa,26.4,Belarus,19.4,Central African Republic,17.7,Congo (Brazzaville),23.6,Togo,10,Panama,35.3,Cambodia,38.5
St Kitts and Nevis,26.2,Comoros,19.2,Eritrea,17.2,Kiribati,23.4,Belize,9.7,Paraguay,35.3,Mozambique,38.4
Sudan,26.2,North Korea,19,Djibouti,17,Djibouti,23.2,Eritrea,9.7,Cabo Verde,33.9,Myanmar,38.2
